Species.name,Nc_Buffalo_2021,Pantheria,IUCN
Arctocephalus_gazella,NA,NA,"850,000"
Ara_glaucogularis,NA,NA,256
Bubo_scandiacus,NA,NA,"21,000"
Capra_hircus,"57,452,229",NA,NA
Cavia_aperea,NA,"11,151,353,961",NA
Ceratotherium_simum_simum,NA,"1,496,699","10,080"
Cervus_elaphus_yarkandensis,NA,"41,086,432",NA
Cervus_nippon,NA,"2,035,990",NA
Coturnix_japonica,"2,214,142,621",NA,NA
Cyanistes_caeruleus,"4,051,311,716",NA,NA
Cynoglossus_semilaevis,"17,758,061",NA,NA
Cyprinus_carpio,"1,158,805,893",NA,NA
Giraffa_camelopardalis,NA,"3,433,659","68,293"
Gyps_fulvus,NA,NA,"490,000"
Hippopotamus_amphibius,NA,"8,988,031",NA
Homo_sapiens,"269,197,271",NA,NA
Hylobates_lar,NA,"2,809,302",NA
Laramichthys_crocea,"15,101,853",NA,NA
Larus_argentatus,NA,NA,"1,140,000"
Mandrillus_leucophaeus,NA,NA,"4,000"
Monodelphis_domestica,"956,488,496","1,083,578,400",NA
Mus_musculus,"50,017,555,188",NA,NA
Odobenus_rosmarus,NA,NA,"112,500"
Pan_troglodytes,"3,034,840","3,095,284",NA
Panthera_pardus,NA,"2,054,402",NA
Panthera_tigris,NA,"74,850",NA
Paralichthys_olivaceus,"1,342,749",NA,NA
Pelecanus_crispus,NA,NA,"12,400"
Pithecia_pithecia,NA,"4,348,373",NA
Procavia_capensis,NA,"65,971,017,419",NA
Pygoscelis_adeliae,NA,NA,"10,000,000"
Rangifer_tarandus,NA,"46,859,983","2,890,400"
Saimiri_boliviensis_boliviensis,NA,"48,402,780",NA
Salmo_salar,"94,951,594",NA,NA
Sarcophilus_harrisii,NA,"375,051",NA
Sus_scrofa,"43,529,123","91,868,993",NA
Taeniopygia_guttata,"251,457,602",NA,NA
Tapirus_indicus,NA,"87,425",2499
Tupaia_belangeri,"582,759,941",NA,NA
Turdus_merula,NA,NA,"255,000,000"
Vulpes_vulpes,NA,"69,337,735",NA